classification_id,user_name,user_id,user_ip,workflow_id,workflow_name,workflow_version,created_at,gold_standard,expert,metadata,annotations,subject_data,subject_ids
87392586,wkiri,1603463,b3f8d61599bdb609e7df,5895,Annotate RSL regions,4.5,2018-01-25 19:10:47 UTC,,,"{""session"":""207363be8ff21e5d064869f5f967d6e11b816156ef105e4df6c4907adfd116fe"",""viewport"":{""width"":1155,""height"":732},""started_at"":""2018-01-25T19:09:59.329Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-01-25T19:10:47.606Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":541,""clientHeight"":361,""naturalWidth"":640,""naturalHeight"":427}]}","[{""task"":""T0"",""task_label"":""Outline the RSL, if present"",""value"":[{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":212.1319580078125,""y"":39.62122344970703},{""x"":180.1984405517578,""y"":27.79399299621582},{""x"":190.8429412841797,""y"":115.31550598144531},{""x"":106.86959838867188,""y"":218.21241760253906},{""x"":110.41777038574219,""y"":383.79364013671875},{""x"":239.3345947265625,""y"":367.23553466796875},{""x"":459.3210754394531,""y"":341.2156066894531},{""x"":486.5237121582031,""y"":212.29879760742188},{""x"":441.5802307128906,""y"":122.4118423461914},{""x"":439.21478271484375,""y"":18.33220863342285},{""x"":393.0885925292969,""y"":53.813899993896484},{""x"":242.88275146484375,""y"":53.813899993896484}],""details"":[],""tool_label"":""RSL""}]}]","{""458036"":{""retired"":null,""link"":""https://www.flickr.com/photos/davebloggs007/15899553966"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""15899553966_5debf88369_z.jpg"",""subject_id"":16,""attribution"":""davebloggs007""}}",458036
87392753,wkiri,1603463,b3f8d61599bdb609e7df,5895,Annotate RSL regions,4.5,2018-01-25 19:11:44 UTC,,,"{""session"":""207363be8ff21e5d064869f5f967d6e11b816156ef105e4df6c4907adfd116fe"",""viewport"":{""width"":1155,""height"":732},""started_at"":""2018-01-25T19:10:52.046Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.84 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-01-25T19:11:44.314Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":541,""clientHeight"":361,""naturalWidth"":640,""naturalHeight"":427}]}","[{""task"":""T0"",""task_label"":""Outline the RSL, if present"",""value"":[{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":381.2613525390625,""y"":222.94329833984375},{""x"":355.241455078125,""y"":201.65428161621094},{""x"":337.5006103515625,""y"":231.2223663330078},{""x"":302.0189208984375,""y"":269.06951904296875},{""x"":297.28802490234375,""y"":318.7438659667969},{""x"":472.3310546875,""y"":349.49468994140625},{""x"":553.9389038085938,""y"":401.53448486328125},{""x"":576.41064453125,""y"":388.5245361328125},{""x"":617.8059692382812,""y"":399.1690368652344},{""x"":603.61328125,""y"":424.0062255859375},{""x"":635.5468139648438,""y"":425.18896484375},{""x"":636.7295532226562,""y"":356.59100341796875},{""x"":566.9489135742188,""y"":271.4349670410156},{""x"":434.48388671875,""y"":261.9731750488281},{""x"":435.6666259765625,""y"":222.94329833984375},{""x"":402.5503845214844,""y"":227.6741943359375}],""details"":[],""tool_label"":""RSL""},{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":110.41777038574219,""y"":198.1061248779297},{""x"":126.97589111328125,""y"":199.28884887695312},{""x"":149.4476318359375,""y"":186.2788848876953},{""x"":169.55392456054688,""y"":211.11607360839844},{""x"":197.9392852783203,""y"":256.0595397949219},{""x"":195.57383728027344,""y"":305.7339172363281},{""x"":189.66021728515625,""y"":340.03289794921875},{""x"":26.444429397583008,""y"":362.504638671875},{""x"":14.617198944091797,""y"":308.099365234375},{""x"":33.540767669677734,""y"":257.2422790527344},{""x"":85.58058166503906,""y"":213.4815216064453},{""x"":74.93608093261719,""y"":182.730712890625},{""x"":96.22509002685547,""y"":189.82705688476562}],""details"":[],""tool_label"":""RSL""}]}]","{""458048"":{""retired"":null,""link"":""https://www.flickr.com/photos/htakashi/5408115862"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""5408115862_b80d8a0608_z.jpg"",""subject_id"":28,""attribution"":""Takashi Hososhima""}}",458048
88060912,garydoranjr,1737747,d27fa03947dd07f43756,5939,"Draw boundaries around fresh, new impact craters on Mars",5.7,2018-01-30 22:38:56 UTC,,,"{""session"":""747b9095ff2c75164ff5b7f17e5e0ef3d3e5abeb22f24506b2ae743762e14416"",""viewport"":{""width"":1920,""height"":978},""started_at"":""2018-01-30T22:37:06.618Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0"",""utc_offset"":""28800"",""finished_at"":""2018-01-30T22:38:56.382Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":880,""clientHeight"":880,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""Label the region modified by a fresh impact"",""value"":[{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":423.06988525390625,""y"":874.026123046875},{""x"":0.22735595703125,""y"":746.7186889648438},{""x"":0.22735595703125,""y"":633.0513305664062},{""x"":191.1884765625,""y"":473.91705322265625},{""x"":413.97650146484375,""y"":478.4637451171875},{""x"":493.54364013671875,""y"":367.06976318359375},{""x"":584.4774780273438,""y"":367.06976318359375},{""x"":589.0242309570312,""y"":182.9286346435547},{""x"":698.1448364257812,""y"":1.0608940124511719},{""x"":909.5661010742188,""y"":437.54351806640625},{""x"":1045.967041015625,""y"":658.0581665039062},{""x"":1266.481689453125,""y"":458.0036315917969},{""x"":1352.86865234375,""y"":453.4569396972656},{""x"":1373.328857421875,""y"":517.1106567382812},{""x"":1311.948486328125,""y"":553.4841918945312},{""x"":1366.5087890625,""y"":603.497802734375},{""x"":1303.827392578125,""y"":628.15234375},{""x"":1292.9539794921875,""y"":689.0430908203125},{""x"":1390.814208984375,""y"":792.33984375},{""x"":1559.3509521484375,""y"":591.1829833984375},{""x"":1625.678466796875,""y"":596.61962890625},{""x"":1682.2198486328125,""y"":834.7459716796875},{""x"":1515.857666015625,""y"":895.63671875},{""x"":1451.7049560546875,""y"":969.575439453125},{""x"":1544.1282958984375,""y"":1045.6888427734375},{""x"":1526.73095703125,""y"":1106.57958984375},{""x"":1409.298828125,""y"":1134.850341796875},{""x"":1671.346435546875,""y"":1147.8983154296875},{""x"":1578.9229736328125,""y"":1258.8065185546875},{""x"":1497.3729248046875,""y"":1285.9898681640625},{""x"":1353.945068359375,""y"":1312.5556640625},{""x"":1215.2529296875,""y"":1337.597412109375},{""x"":1153.6119384765625,""y"":1545.6356201171875},{""x"":972.5416259765625,""y"":1636.170654296875},{""x"":820.3656005859375,""y"":1339.523681640625},{""x"":579.58056640625,""y"":1385.75439453125},{""x"":379.2474365234375,""y"":1181.5687255859375},{""x"":115.34710693359375,""y"":1196.97900390625},{""x"":117.27337646484375,""y"":1056.360595703125}],""details"":[],""tool_label"":""Label Impact""}]}]","{""17920476"":{""retired"":null,""id"":""278"",""image"":""278_ESP_026934_1715_RED_16156_8692.jpg""}}",17920476
88060974,garydoranjr,1737747,d27fa03947dd07f43756,5939,"Draw boundaries around fresh, new impact craters on Mars",5.7,2018-01-30 22:39:24 UTC,,,"{""session"":""747b9095ff2c75164ff5b7f17e5e0ef3d3e5abeb22f24506b2ae743762e14416"",""viewport"":{""width"":1920,""height"":978},""started_at"":""2018-01-30T22:39:08.296Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0"",""utc_offset"":""28800"",""finished_at"":""2018-01-30T22:39:24.575Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":880,""clientHeight"":880,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""Label the region modified by a fresh impact"",""value"":[]}]","{""17920133"":{""retired"":null,""id"":""67"",""image"":""67_ESP_011425_1775_RED_14604_9452.jpg""}}",17920133
88193330,wkiri,1603463,49757cfa31de9ef418de,5895,Annotate RSL regions,4.5,2018-01-31 21:20:02 UTC,,,"{""session"":""85ac9df1b647ee97f5edeb7cc05da8e5a4d6a38c51b6bb8ff24c892270a9bcb0"",""viewport"":{""width"":1635,""height"":932},""started_at"":""2018-01-31T21:19:40.647Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-01-31T21:20:01.959Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":992,""clientHeight"":615,""naturalWidth"":1024,""naturalHeight"":635}]}","[{""task"":""T0"",""task_label"":""Outline the RSL, if present"",""value"":[{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":976.1649780273438,""y"":156.33944702148438},{""x"":912.1844482421875,""y"":290.4920959472656},{""x"":909.088623046875,""y"":466.9544372558594},{""x"":865.7470092773438,""y"":582.5321044921875},{""x"":631.495849609375,""y"":594.9154663085938},{""x"":424.0751953125,""y"":458.6988830566406},{""x"":379.7016296386719,""y"":272.9490661621094},{""x"":440.5862731933594,""y"":137.76446533203125},{""x"":480.83209228515625,""y"":8.771519660949707},{""x"":547.9083862304688,""y"":12.899293899536133},{""x"":640.7833251953125,""y"":127.44502258300781},{""x"":843.0442504882812,""y"":197.6171875}],""details"":[],""tool_label"":""RSL""}]}]","{""458021"":{""retired"":null,""link"":""https://www.flickr.com/photos/aigle_dore/6672150457"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""6672150457_420d61007d_b.jpg"",""subject_id"":1,""attribution"":""Moyan Brenn""}}",458021
88193388,wkiri,1603463,49757cfa31de9ef418de,5895,Annotate RSL regions,4.5,2018-01-31 21:20:31 UTC,,,"{""session"":""85ac9df1b647ee97f5edeb7cc05da8e5a4d6a38c51b6bb8ff24c892270a9bcb0"",""viewport"":{""width"":1635,""height"":932},""started_at"":""2018-01-31T21:20:28.318Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-01-31T21:20:30.975Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":640,""clientHeight"":438,""naturalWidth"":640,""naturalHeight"":438}]}","[{""task"":""T0"",""task_label"":""Outline the RSL, if present"",""value"":[]}]","{""458034"":{""retired"":null,""link"":""https://www.flickr.com/photos/sheepies/3269610146"",""origin"":""Flickr"",""license"":""Creative Commons - share adapt attribute"",""image_name"":""3269610146_2f541f4ac7_z.jpg"",""subject_id"":14,""attribution"":""Andreas-photography""}}",458034
88193551,wkiri,1603463,49757cfa31de9ef418de,5939,"Draw boundaries around fresh, new impact craters on Mars",5.8,2018-01-31 21:21:47 UTC,,,"{""session"":""a5ffdd2af8121c9d2fb39987d78762205062f3aef23878e5e9d4fb21ddefc3f7"",""viewport"":{""width"":1635,""height"":932},""started_at"":""2018-01-31T21:21:30.889Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"",""utc_offset"":""28800"",""finished_at"":""2018-01-31T21:21:47.498Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":839,""clientHeight"":839,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""Label the regions modified by a fresh impact"",""value"":[{""tool"":0,""frame"":0,""closed"":true,""points"":[{""x"":867.635498046875,""y"":1711.6390380859375},{""x"":967.8290405273438,""y"":1785.5914306640625},{""x"":1397.229736328125,""y"":1754.5791015625},{""x"":1366.217529296875,""y"":1539.8787841796875},{""x"":943.973388671875,""y"":1587.5899658203125}],""details"":[],""tool_label"":""Label Impact""}]}]","{""17920047"":{""retired"":null,""id"":""6"",""image"":""6_PSP_009212_1640_RED_18452_9701.jpg""}}",17920047
89201254,garydoranjr,1737747,d27fa03947dd07f43756,6060,Fresh Impact Pre-Filter,7.10,2018-02-07 22:08:38 UTC,,,"{""session"":""18a09d8e3b9e51cca2798f3e47b8201657dcf0a80c575f4ae2cf762f17f86467"",""viewport"":{""width"":1920,""height"":978},""started_at"":""2018-02-07T22:08:33.872Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0"",""utc_offset"":""28800"",""finished_at"":""2018-02-07T22:08:38.705Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":880,""clientHeight"":880,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""What general type of impact is this?"",""value"":""Dark on light background""}]","{""17920719"":{""retired"":null,""id"":""397"",""image"":""397_ESP_034687_1915_RED_14032_8862.jpg""}}",17920719
89201281,garydoranjr,1737747,d27fa03947dd07f43756,6060,Fresh Impact Pre-Filter,7.10,2018-02-07 22:08:45 UTC,,,"{""session"":""18a09d8e3b9e51cca2798f3e47b8201657dcf0a80c575f4ae2cf762f17f86467"",""viewport"":{""width"":1920,""height"":978},""started_at"":""2018-02-07T22:08:42.790Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0"",""utc_offset"":""28800"",""finished_at"":""2018-02-07T22:08:45.805Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":880,""clientHeight"":880,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""What general type of impact is this?"",""value"":""Dark on light background""}]","{""17920055"":{""retired"":null,""id"":""10"",""image"":""10_PSP_007496_1735_RED_20417_12039.jpg""}}",17920055
89201304,garydoranjr,1737747,d27fa03947dd07f43756,6060,Fresh Impact Pre-Filter,7.10,2018-02-07 22:08:51 UTC,,,"{""session"":""18a09d8e3b9e51cca2798f3e47b8201657dcf0a80c575f4ae2cf762f17f86467"",""viewport"":{""width"":1920,""height"":978},""started_at"":""2018-02-07T22:08:47.257Z"",""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10.10; rv:52.0) Gecko/20100101 Firefox/52.0"",""utc_offset"":""28800"",""finished_at"":""2018-02-07T22:08:51.462Z"",""live_project"":false,""user_language"":""en"",""user_group_ids"":[],""subject_dimensions"":[{""clientWidth"":880,""clientHeight"":880,""naturalWidth"":2001,""naturalHeight"":2001}]}","[{""task"":""T0"",""task_label"":""What general type of impact is this?"",""value"":""Other""}]","{""17920673"":{""retired"":null,""id"":""361"",""image"":""361_ESP_033980_1955_RED_11974_6506.jpg""}}",17920673
